Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/v1/retrieve,443,0,500.0,502.22637378778853,319.2668871488422,896.1339041125029,1.0,7.661473496040592,0.0,500,520,540,570,610,650,710,750,900,900,900
,Aggregated,443,0,500.0,502.22637378778853,319.2668871488422,896.1339041125029,1.0,7.661473496040592,0.0,500,520,540,570,610,650,710,750,900,900,900
