Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/v1/retrieve,179,0,700.0,779.197703799826,323.8800868857652,1730.6641309987754,1.0,5.102808442758341,0.0,700,1100,1200,1200,1300,1500,1600,1600,1700,1700,1700
,Aggregated,179,0,700.0,779.197703799826,323.8800868857652,1730.6641309987754,1.0,5.102808442758341,0.0,700,1100,1200,1200,1300,1500,1600,1600,1700,1700,1700
